step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
162,CASH_OUT,183806.32,C691771226,19391.0,0.0,C1416312719,382572.19,566378.51,0,0
137,PAYMENT,521.37,C203378011,0.0,0.0,M42773300,0.0,0.0,0,0
179,PAYMENT,3478.18,C1698571270,19853.0,16374.82,M643984524,0.0,0.0,0,0
355,PAYMENT,1716.05,C913764937,5769.17,4053.13,M1387429131,0.0,0.0,0,0
354,CASH_IN,253129.93,C2017736577,1328499.49,1581629.42,C407484102,2713220.48,2460090.55,0,0
321,PAYMENT,24768.57,C677695730,21573.0,0.0,M1730854331,0.0,0.0,0,0
305,CASH_OUT,124718.38,C355629677,0.0,0.0,C1090103022,2482527.99,2607246.37,0,0
167,PAYMENT,1464.13,C340132482,60483.0,59018.87,M1065400251,0.0,0.0,0,0
396,TRANSFER,353783.72,C234084293,0.0,0.0,C1474695154,1639764.23,1993547.95,0,0
347,CASH_IN,266999.97,C1187651682,7411271.89,7678271.86,C1593563915,386812.88,119812.91,0,0
15,CASH_IN,53230.73,C938400829,895081.62,948312.35,C360966517,7015146.49,6961915.77,0,0
252,CASH_OUT,195227.91,C835571957,0.0,0.0,C208019830,1256726.0,1451953.91,0,0
38,CASH_OUT,39108.07,C1229108245,0.0,0.0,C986189638,2484800.84,2523908.91,0,0
274,CASH_OUT,417787.06,C1653173465,36702.0,0.0,C339666788,0.0,417787.06,0,0
41,DEBIT,819.35,C1148180455,274494.0,273674.65,C1736487027,923509.57,924328.92,0,0
164,PAYMENT,4017.63,C2092027039,10306.0,6288.37,M69663429,0.0,0.0,0,0
178,PAYMENT,14691.54,C798186271,0.0,0.0,M1518291364,0.0,0.0,0,0
277,CASH_OUT,239121.18,C2047697635,0.0,0.0,C53443461,250452.44,489573.62,0,0
278,CASH_OUT,3167.66,C1593272099,62536.0,59368.34,C1641185696,0.0,0.0,0,0
36,CASH_OUT,270566.57,C300451543,6494.0,0.0,C35275622,0.0,586645.37,0,0
